ORF	Length
YER140W	1671
YER141W	1461
YER142C	891
YER143W	1287
YER144C	2418
YER145C	1215
YER146W	282
YER147C	1875
YER148W	723
YER149C	1263
YER150W	447
YER151C	2739
YER152C	1332
YER153C	765
YER154W	1209
YER155C	6504
YER156C	1017
YER157W	2406
YER158C	1722
YER159C	429
YER161C	1002
YER162C	2265
YER163C	699
YER164W	4407
YER165W	1734
YER166W	4716
YER167W	2556
YER168C	1641
YER169W	2391
YER170W	678
YER171W	2337
YER172C	6492
YER173W	1980
YER174C	735
YER175C	900
YER175W-A	165
YER176W	3366
YER177W	804
YER178W	1263
YER179W	1005
YER180C	804
YER180C-A	258
YER182W	735
YER183C	636
YER184C	2385
YER185W	912
YER186C	921
YER187W	426
YER188C-A	300
YER189W	369
YER190C-B	483
YER190W	5046
YFL001W	1329
YFL002C	1821
YFL003C	2637
YFL004W	2487
YFL005W	648
YFL007W	6432
YFL008W	3678
YFL009W	2340
YFL010C	636
YFL010W-A	285
YFL011W	1641
YFL012W	447
YFL013C	2079
YFL014W	330
YFL016C	1536
YFL017C	480
YFL017W-A	234
YFL018C	1500
YFL020C	369
YFL021W	1533
YFL022C	1512
YFL023W	2391
YFL024C	2499
YFL025C	3090
YFL026W	1296
YFL027C	1494
YFL028C	870
YFL029C	1107
YFL030W	1158
YFL031W	717
YFL033C	5313
YFL034C-A	369
YFL034C-B	864
YFL034W	3222
YFL036W	4056
YFL037W	1374
YFL038C	621
YFL039C	1128
YFL040W	1623
YFL041W	1869
YFL041W-A	192
YFL042C	2025
YFL044C	906
YFL045C	765
YFL046W	624
YFL047W	2145
YFL048C	1338
YFL049W	1872
YFL050C	2577
YFL051C	483
YFL052W	1398
YFL053W	1776
YFL054C	1941
YFL055W	1677
YFL056C	1127
YFL058W	1023
YFL059W	897
YFL060C	669
YFL061W	678
YFL062W	1140
YFL064C	525
YFL065C	309
YFL066C	1179
YFL067W	528
YFL068W	483
YFR001W	615
YFR002W	2520
YFR003C	468
YFR004W	921
YFR005C	1347
YFR006W	1608
YFR007W	1062
YFR008W	666
YFR009W	2259
YFR010W	1500
YFR011C	513
YFR012W	609
YFR012W-A	87
YFR013W	2364
YFR014C	1341
YFR015C	2127
YFR016C	3702
YFR017C	588
YFR018C	1092
YFR019W	6837
YFR020W	699
YFR021W	1503
YFR022W	2202
YFR023W	1836
YFR024C-A	1380
YFR025C	1008
YFR026C	510
YFR027W	846
YFR028C	1656
YFR029W	2037
YFR030W	3108
YFR031C	3513
YFR031C-A	765
YFR032C	870
YFR032C-A	180
YFR032C-B	264
YFR033C	444
YFR034C	939
YFR035C	345
YFR036W	375
YFR037C	1674
YFR038W	2562
YFR039C	1533
YFR040W	3009
YFR041C	888
YFR042W	603
YFR043C	714
YFR044C	1446
YFR045W	930
YFR046C	1086
YFR047C	888
YFR048W	1989
YFR049W	372
YFR050C	801
YFR051C	1641
YFR052W	825
YFR053C	1458
YFR055W	1023
YFR057W	456
YGL001C	1050
YGL002W	651
YGL003C	1701
YGL004C	1254
YGL005C	840
YGL006W	3522
YGL006W-A	111
YGL007C-A	87
YGL008C	2757
YGL009C	2340
YGL010W	525
YGL011C	759
YGL012W	1422
YGL013C	3207
YGL014W	2667
YGL015C	393
YGL016W	3246
YGL017W	1512
YGL018C	555
YGL019W	837
YGL020C	708
YGL021W	2283
YGL022W	2157
YGL023C	1908
YGL025C	1194
YGL026C	2124
YGL027C	2502
YGL028C	1629
YGL029W	363
YGL030W	318
YGL031C	468
YGL032C	264
YGL033W	645
YGL035C	1515
YGL036W	2730
YGL037C	651
YGL038C	1443
YGL039W	1047
YGL040C	1029
YGL041C-B	183
YGL041W-A	465
YGL043W	930
YGL044C	891
YGL045W	1629
YGL047W	609
YGL048C	1218
YGL049C	2745
YGL050W	822
YGL051W	705
YGL053W	714
YGL054C	417
YGL055W	1533
YGL056C	1584
YGL057C	864
YGL058W	519
YGL059W	1476
YGL060W	1926
YGL061C	744
YGL062W	3537
YGL063W	1113
YGL064C	1686
YGL065C	1512
YGL066W	1974
YGL067W	1155
YGL068W	585
YGL070C	369
YGL071W	2073
YGL073W	2502
YGL075C	1164
YGL076C	735
YGL077C	1692
YGL078C	1572
YGL079W	657
YGL080W	393
YGL081W	963
YGL082W	1146
YGL083W	2415
YGL084C	1683
YGL085W	825
YGL086W	2250
YGL087C	414
YGL089C	363
YGL090W	1266
YGL091C	987
YGL092W	3954
YGL093W	2754
YGL094C	3348
YGL095C	1734
YGL096W	831
YGL097W	1449
YGL098W	738
YGL099W	1923
YGL100W	1050
YGL101W	648
YGL103W	450
YGL104C	1461
YGL105W	1131
YGL106W	450
YGL107C	1941
YGL108C	423
YGL110C	1875
YGL111W	1392
YGL112C	1551
YGL113W	2007
YGL114W	2178
YGL115W	969
YGL116W	1833
YGL117W	798
YGL119W	1506
YGL120C	2304
YGL121C	381
YGL122C	1578
YGL123W	765
YGL124C	1935
YGL125W	1803
YGL126W	1143
YGL127C	384
YGL128C	852
YGL129C	1353
YGL130W	1380
YGL131C	4212
YGL133W	3795
YGL134W	1302
YGL135W	654
YGL136C	963
YGL137W	2670
YGL138C	1038
YGL139W	2409
YGL140C	3660
YGL141W	2733
YGL142C	1851
YGL143C	1242
YGL144C	2058
YGL145W	2106
YGL146C	936
YGL147C	576
YGL148W	1131
YGL150C	4470
YGL151W	3399
YGL153W	1026
YGL154C	819
YGL155W	1131
YGL156W	3252
YGL157W	1044
YGL158W	1539
YGL159W	1113
YGL160W	1713
YGL161C	933
YGL162W	900
YGL163C	2697
YGL164C	1323
YGL166W	678
YGL167C	2853
YGL168W	333
YGL169W	1281
YGL170C	1242
YGL171W	1695
YGL172W	1419
YGL173C	4587
YGL174W	801
YGL175C	1038
YGL176C	1665
YGL178W	2580
YGL179C	1683
YGL180W	2694
YGL181W	1191
YGL183C	660
YGL184C	1398
YGL185C	1140
YGL186C	1740
YGL187C	468
YGL188C-A	141
YGL189C	360
YGL190C	1581
YGL191W	390
YGL192W	1803
YGL193C	312
YGL194C	1359
YGL194C-A	243
YGL195W	8019
YGL196W	1287
YGL197W	4464
YGL198W	708
YGL200C	612
YGL201C	3054
YGL202W	1503
YGL203C	2190
YGL204C	306
YGL205W	2247
YGL206C	4962
YGL207W	3108
YGL208W	1248
YGL209W	1149
YGL210W	669
YGL211W	1080
YGL212W	951
YGL213C	1194
YGL215W	1359
YGL216W	2418
YGL219C	1380
YGL220W	363
YGL221C	867
YGL222C	528
YGL223C	1254
YGL224C	843
YGL225W	1014
YGL226C-A	261
YGL226W	372
YGL227W	2877
YGL228W	1734
YGL229C	2457
YGL230C	444
YGL231C	573
YGL232W	870
YGL233W	2733
YGL234W	2409
YGL235W	537
YGL236C	2010
YGL237C	798
YGL238W	2883
YGL240W	753
YGL241W	3015
YGL242C	546
YGL243W	1203
YGL244W	1677
YGL245W	2127
YGL246C	1164
YGL247W	594
YGL248W	1110
YGL249W	2115
YGL250W	726
YGL251C	3564
YGL252C	1767
YGL253W	1461
YGL254W	900
YGL255W	1131
YGL256W	1149
YGL257C	1677
YGL258W	621
YGL258W-A	234
YGL259W	498
YGL260W	231
YGL261C	363
YGL262W	528
YGL263W	1143
YGR001C	747
YGR002C	1431
YGR003W	2235
YGR004W	1389
YGR005C	1203
YGR006W	756
YGR007W	972
YGR008C	255
YGR009C	1956
YGR010W	1188
YGR012W	1182
YGR013W	1863
YGR014W	3921
YGR015C	987
YGR016W	573
YGR017W	894
YGR018C	330
YGR019W	1416
YGR020C	357
YGR021W	873
YGR023W	1656
YGR024C	714
YGR026W	837
YGR027C	327
YGR028W	1089
YGR029W	570
YGR030C	477
YGR031C-A	492
YGR031W	1029
YGR032W	5688
YGR033C	720
YGR034W	384
YGR035C	351
YGR035W-A	222
YGR036C	720
YGR037C	264
YGR038W	669
YGR040W	1107
YGR041W	1644
YGR042W	816
YGR043C	1002
YGR044C	903
YGR046W	1158
YGR047C	3078
YGR048W	1086
YGR049W	564
YGR050C	357
YGR052W	1110
YGR053C	852
YGR054W	1929
YGR055W	1725
YGR056W	2787
YGR057C	729
YGR058W	1008
YGR059W	1539
YGR060W	930
YGR061C	4077
YGR062C	951
YGR063C	309
YGR065C	1782
YGR066C	879
YGR067C	2415
YGR068C	1761
YGR070W	3468
YGR071C	2583
YGR072W	1164
YGR074W	441
YGR075C	729
YGR076C	474
YGR077C	1770
YGR078C	600
YGR079W	1113
YGR080W	999
YGR081C	633
YGR082W	552
YGR083C	1956
YGR084C	1020
YGR085C	525
YGR086C	1020
YGR087C	1692
YGR088W	1689
YGR089W	2811
YGR090W	3714
YGR091W	1485
YGR092W	1719
YGR093W	1524
YGR094W	3315
YGR095C	672
YGR096W	945
YGR097W	3441
YGR098C	4893
YGR099W	2067
YGR100W	2853
YGR101W	1041
YGR102C	552
YGR103W	1818
YGR104C	924
YGR105W	234
YGR106C	798
YGR108W	1416
YGR109C	1143
YGR110W	1338
YGR111W	1203
YGR112W	1170
YGR113W	1032
YGR116W	4356
YGR117C	1431
YGR118W	438
YGR119C	1626
YGR120C	789
YGR121C	1479
YGR121W-A	216
YGR122W	1209
YGR123C	1542
YGR124W	1719
YGR125W	3111
YGR126W	693
YGR127W	939
YGR128C	2142
YGR129W	648
YGR130C	2451
YGR131W	525
YGR132C	864
YGR133W	552
YGR134W	3369
YGR135W	777
YGR136W	726
YGR138C	1845
YGR140W	2871
YGR141W	1404
YGR142W	1233
YGR143W	2316
YGR144W	981
YGR145W	2124
YGR146C	636
YGR146C-A	162
YGR147C	867
YGR148C	468
YGR149W	1299
YGR150C	2595
YGR152C	819
YGR153W	654
YGR154C	1071
YGR155W	1524
YGR156W	1278
YGR157W	2610
YGR158C	753
YGR159C	1245
YGR161C	792
YGR161W-C	279
YGR162W	2859
YGR163W	1026
YGR165W	1038
YGR166W	1683
YGR167W	702
YGR168C	1131
YGR169C	1215
YGR169C-A	279
YGR170W	3417
YGR171C	1728
YGR172C	747
YGR173W	1107
YGR174C	513
YGR174W-A	87
YGR175C	1491
YGR177C	1608
YGR178C	2169
YGR179C	1221
YGR180C	1038
YGR181W	318
YGR183C	201
YGR184C	5853
YGR185C	1185
YGR186W	2208
YGR187C	1185
YGR188C	3066
YGR189C	1524
YGR191W	1812
YGR192C	999
YGR193C	1233
YGR194C	1803
YGR195W	741
YGR196C	2454
YGR197C	1644
YGR198W	2454
YGR199W	2280
YGR200C	2367
YGR201C	678
YGR202C	1275
YGR203W	447
YGR204C-A	114
YGR204W	2841
YGR205W	873
YGR206W	306
YGR207C	786
YGR208W	930
YGR209C	315
YGR210C	1236
YGR211W	1461
YGR212W	1407
YGR213C	954
YGR214W	759
YGR215W	333
YGR216C	1830
YGR217W	6120
YGR218W	3255
YGR220C	810
YGR221C	1869
YGR222W	882
YGR223C	1347
YGR224W	1842
YGR225W	1782
YGR227W	1578
YGR229C	1518
YGR230W	414
YGR231C	933
YGR232W	687
YGR233C	3537
YGR234W	1200
YGR235C	702
YGR236C	288
YGR237C	2358
YGR238C	2649
YGR239C	867
YGR240C	2964
YGR240C-A	201
YGR241C	1707
YGR243W	441
YGR244C	1284
YGR245C	2304
YGR246C	1791
YGR247W	720
YGR248W	768
YGR249W	1371
YGR250C	2346
YGR251W	591
YGR252W	1320
YGR253C	783
YGR254W	1314
YGR255C	1440
YGR256W	1479
YGR257C	1101
YGR258C	3096
YGR260W	1605
YGR261C	2430
YGR262C	786
YGR263C	1275
YGR264C	2256
YGR266W	2106
YGR267C	732
YGR268C	597
YGR270W	4140
YGR271C-A	702
YGR271W	5904
YGR273C	525
YGR274C	3201
YGR275W	474
YGR276C	1662
YGR277C	918
YGR278W	1734
YGR279C	1161
YGR280C	816
YGR281W	4434
YGR282C	942
YGR283C	1026
YGR284C	933
YGR285C	1302
YGR286C	1128
YGR287C	1770
YGR288W	1422
YGR289C	1851
YGR292W	1755
YGR294W	363
YGR295C	1146
YGR296W	5580
YHL001W	417
YHL002W	1359
YHL003C	1236
YHL004W	1185
YHL006C	453
YHL007C	2820
YHL008C	1884
YHL009C	993
YHL010C	1758
YHL011C	963
YHL012W	1482
YHL013C	924
YHL014C	1218
YHL015W	366
YHL015W-A	84
YHL016C	2208
YHL017W	1599
YHL018W	363
YHL019C	1818
YHL020C	1215
YHL021C	1398
YHL022C	1197
YHL023C	3441
YHL024W	2142
YHL025W	999
YHL026C	948
YHL027W	1878
YHL028W	1818
YHL029C	2040
YHL030W	5607
YHL031C	672
YHL032C	2130
YHL033C	771
YHL034C	885
YHL035C	4779
YHL036W	1641
YHL038C	1893
YHL039W	1758
YHL040C	1884
YHL042W	453
YHL043W	513
YHL044W	708
YHL046C	363
YHL047C	1863
YHL048C-A	135
YHL048W	1146
YHL049C	816
YHL050C	2094
YHR001W	1314
YHR001W-A	234
YHR002W	1074
YHR003C	1290
YHR004C	1341
YHR005C	1419
YHR005C-A	282
YHR006W	1626
YHR007C	1593
YHR007C-A	216
YHR008C	702
YHR009C	1572
YHR010W	411
YHR011W	1341
YHR012W	849
YHR013C	717
YHR014W	876
YHR015W	1980
YHR016C	1407
YHR017W	1158
YHR018C	1392
YHR019C	1665
YHR020W	2067
YHR021C	249
YHR021W-A	456
YHR022C	771
YHR022C-A	90
YHR023W	5787
YHR024C	1449
YHR025W	1074
YHR026W	642
YHR027C	2982
YHR028C	2457
YHR029C	885
YHR030C	1455
YHR031C	2172
YHR032W	1746
YHR033W	1272
YHR034C	1035
YHR035W	1893
YHR036W	1416
YHR037W	1728
YHR038W	693
YHR039C	1935
YHR039C-A	345
YHR040W	1101
YHR041C	633
YHR042W	2076
YHR043C	741
YHR044C	741
YHR045W	1683
YHR046C	888
YHR047C	2571
YHR048W	1545
YHR049W	732
YHR050W	1650
YHR050W-A	171
YHR051W	447
YHR052W	1131
YHR053C	186
YHR054C	1065
YHR055C	186
YHR056C	2652
YHR057C	618
YHR058C	888
YHR059W	393
YHR060W	546
YHR061C	945
YHR062C	882
YHR063C	1140
YHR064C	1617
YHR065C	1506
YHR066W	1362
YHR067W	843
YHR068W	1164
YHR069C	1080
YHR070W	1500
YHR071W	690
YHR072W	2196
YHR072W-A	177
YHR073W	2991
YHR074W	2145
YHR075C	1203
YHR076W	1032
YHR077C	3270
YHR078W	1659
YHR079C	3348
YHR079C-A	276
YHR080C	4038
YHR081W	555
YHR082C	3090
YHR083W	990
YHR084W	2067
YHR085W	1005
YHR086W	1572
YHR086W-A	162
YHR087W	336
YHR088W	888
YHR089C	618
YHR090C	849
YHR091C	1932
YHR092C	1731
YHR094C	1713
YHR096C	1779
YHR097C	1101
YHR098C	2790
YHR099W	11235
YHR100C	558
YHR101C	1008
YHR102W	3243
YHR103W	2559
YHR104W	984
YHR105W	645
YHR106W	1029
YHR107C	1224
YHR108W	1758
YHR109W	1758
YHR110W	639
YHR111W	1323
YHR112C	1137
YHR113W	1473
YHR114W	1902
YHR115C	1251
YHR116W	456
YHR117W	1920
YHR118C	1308
YHR119W	3243
YHR120W	2880
YHR121W	564
YHR122W	696
YHR123W	1176
YHR124W	1884
YHR126C	480
YHR127W	732
YHR128W	651
YHR129C	1155
YHR131C	2553
YHR132C	1293
YHR132W-A	396
YHR133C	876
YHR134W	810
YHR135C	1617
YHR136C	447
YHR137W	1542
YHR138C	345
YHR139C	981
YHR140W	720
YHR141C	321
YHR142W	951
YHR143W	978
YHR143W-A	213
YHR144C	939
YHR146W	1398
YHR147C	645
YHR148W	552
YHR149C	2205
YHR150W	1740
YHR151C	1581
YHR152W	522
YHR153C	597
YHR154W	3213
YHR155W	3687
YHR156C	1023
YHR157W	549
YHR158C	3495
YHR159W	1515
YHR160C	852
YHR161C	1914
YHR162W	390
YHR163W	750
YHR164C	4569
YHR165C	7242
YHR166C	1881
YHR167W	786
YHR168W	1557
YHR169W	1296
YHR170W	1557
YHR171W	1893
YHR172W	2472
YHR173C	339
YHR174W	1314
YHR175W	570
YHR175W-A	150
YHR176W	1299
YHR177W	1362
YHR178W	2232
YHR179W	1203
YHR181W	687
YHR182W	2358
YHR183W	1470
YHR184W	1716
YHR185C	714
YHR186C	4674
YHR187W	930
YHR188C	1833
YHR189W	573
YHR190W	1335
YHR191C	402
YHR192W	837
YHR193C	525
YHR194W	1740
YHR195W	966
YHR196W	1728
YHR197W	2292
YHR198C	966
YHR199C	933
YHR199C-A	222
YHR200W	807
YHR201C	1194
YHR202W	1809
YHR203C	786
YHR204W	2391
YHR205W	2475
YHR206W	1869
YHR207C	1581
YHR208W	1182
YHR209W	876
YHR210C	1026
YHR211W	3228
YHR212W-A	204
YHR213W	597
YHR213W-A	234
YHR213W-B	300
YHR214C-D	294
YHR214C-E	300
YHR214W	612
YHR215W	1404
YHR216W	1572
YHR218W	1812
YHR219W	1875
YIL001W	1542
YIL002C	2841
YIL002W-A	210
YIL003W	882
YIL004C	429
YIL005W	2106
YIL006W	1122
YIL007C	663
YIL008W	300
YIL009C-A	546
YIL009W	2085
YIL010W	648
YIL011W	810
YIL013C	4236
YIL014C-A	315
YIL014W	1893
YIL015W	1764
YIL016W	480
YIL017C	2766
YIL018W	765
YIL019W	1041
YIL020C	786
YIL021W	957
YIL022W	1296
YIL023C	1041
YIL024C	570
YIL026C	3453
YIL027C	426
YIL029C	429
YIL030C	3960
YIL031W	3105
YIL033C	1251
YIL034C	864
YIL035C	1119
YIL036W	1764
YIL037C	1971
YIL038C	2511
YIL039W	1422
YIL040W	417
YIL041W	981
YIL042C	1185
YIL043C	855
YIL044C	897
YIL045W	1617
YIL046W	1923
YIL046W-A	165
YIL047C	2709
YIL048W	3456
YIL049W	762
YIL050W	858
YIL051C	438
YIL052C	366
YIL053W	753
YIL054W	318
YIL055C	1884
YIL056W	1923
YIL057C	495
YIL060W	435
YIL061C	903
YIL062C	465
YIL063C	984
YIL064W	774
YIL065C	468
YIL066C	2610
YIL067C	2037
YIL068C	2418
YIL069C	408
YIL070C	801
YIL071C	1335
YIL072W	1818
YIL073C	2928
YIL074C	1410
YIL075C	2838
YIL076W	891
YIL077C	963
YIL078W	2205
YIL079C	1083
YIL083C	1098
YIL084C	984
YIL085C	1554
YIL087C	474
YIL088C	1473
YIL089W	618
YIL090W	1476
YIL091C	2166
YIL092W	1902
YIL093C	795
YIL094C	1116
YIL095W	2433
YIL096C	1011
YIL097W	1551
YIL098C	468
YIL099W	1650
YIL101C	1944
YIL102C	306
YIL102C-A	228
YIL103W	1278
YIL104C	1524
YIL105C	2061
YIL105W-A	141
YIL106W	945
YIL107C	2484
YIL108W	2091
YIL109C	2781
YIL110W	1134
YIL111W	456
YIL112W	3252
YIL113W	630
YIL114C	846
YIL115C	4383
YIL116W	1158
YIL117C	957
YIL118W	696
YIL119C	1224
YIL120W	1692
YIL121W	1629
YIL122W	1056
YIL123W	1431
YIL124W	894
YIL125W	3045
YIL126W	4080
YIL127C	621
YIL128W	3099
YIL129C	7131
YIL130W	2895
YIL131C	1455
YIL132C	642
YIL133C	600
YIL134C-A	204
YIL134W	936
YIL135C	1311
YIL136W	1182
YIL137C	2841
YIL138C	486
YIL139C	738
YIL140W	2472
YIL142W	1584
YIL143C	2532
YIL144W	2076
YIL145C	930
YIL146C	1590
YIL147C	3663
YIL148W	387
YIL149C	5040
YIL150C	1716
YIL151C	3357
YIL152W	708
YIL153W	1182
YIL154C	1041
YIL155C	1950
YIL156W	3216
YIL156W-B	222
YIL157C	594
YIL158W	615
YIL159W	4128
YIL160C	1254
YIL161W	708
YIL162W	1599
YIL163C	354
YIL164C	600
YIL165C	360
YIL166C	1629
YIL167W	1017
YIL169C	2988
YIL170W	1374
YIL171W	330
YIL172C	1770
YIL173W	4650
YIL174W	228
YIL175W	318
YIL176C	363
YIL177C	5277
YIR001C	753
YIR002C	2982
YIR003W	2040
YIR004W	1299
YIR005W	447
YIR006C	4443
YIR007W	2295
YIR008C	1230
YIR009W	336
YIR010W	1731
YIR011C	960
YIR012W	1296
YIR013C	366
YIR014W	729
YIR015W	435
YIR016W	798
YIR017C	564
YIR018C-A	138
YIR018W	738
YIR019C	4104
YIR020C	303
YIR021W	1092
YIR021W-A	213
YIR022W	504
YIR023W	2913
YIR024C	651
YIR025W	1107
YIR026C	1095
YIR027C	1383
YIR028W	1908
YIR029W	1032
YIR030C	735
YIR031C	1665
YIR032C	588
YIR033W	3342
YIR034C	1122
YIR035C	765
YIR036C	792
YIR037W	492
YIR038C	705
YIR039C	1614
YIR041W	375
YIR042C	711
YIR043C	1137
YJL001W	648
YJL002C	1431
YJL003W	357
YJL004C	612
YJL005W	6081
YJL006C	972
YJL008C	1707
YJL010C	2001
YJL011C	486
YJL012C	2166
YJL013C	1548
YJL014W	1605
YJL016W	1686
YJL019W	2049
YJL020C	3474
YJL023C	1044
YJL024C	585
YJL025W	1545
YJL026W	1200
YJL027C	417
YJL028W	336
YJL029C	2469
YJL030W	591
YJL031C	984
YJL033W	2313
YJL034W	2049
YJL035C	753
YJL036W	1272
YJL037W	675
YJL038C	660
YJL039C	5052
YJL041W	2472
YJL042W	4197
YJL043W	774
YJL044C	1377
YJL045W	1905
YJL046W	1230
YJL047C	2529
YJL047C-A	135
YJL048C	1191
YJL049W	1353
YJL050W	3222
YJL051W	2469
YJL052C-A	120
YJL052W	999
YJL053W	1140
YJL054W	1437
YJL055W	738
YJL056C	2643
YJL057C	2004
YJL058C	1632
YJL059W	1227
YJL060W	1335
YJL061W	2142
YJL062W	2493
YJL062W-A	258
YJL063C	717
YJL065C	504
YJL066C	759
YJL068C	900
YJL069C	1785
YJL070C	2667
YJL071W	1725
YJL072C	642
YJL073W	1938
YJL074C	3693
YJL076W	3570
YJL077C	396
YJL077W-A	87
YJL077W-B	99
YJL078C	2646
YJL079C	900
YJL080C	3669
YJL081C	1470
YJL082W	2196
YJL083W	1815
YJL084C	3141
YJL085W	1872
YJL087C	2484
YJL088W	1017
YJL089W	2490
YJL090C	2295
YJL091C	1473
YJL092W	3525
YJL093C	2076
YJL094C	2622
YJL095W	4437
YJL096W	486
YJL097W	654
YJL098W	3177
YJL099W	2241
YJL100W	1824
YJL101C	2037
YJL102W	2460
YJL103C	1857
YJL104W	450
YJL105W	1683
YJL106W	1938
YJL107C	1164
YJL108C	1152
YJL109C	5310
YJL110C	1656
YJL111W	1653
YJL112W	2145
YJL115W	840
YJL116C	1014
YJL117W	936
YJL118W	660
YJL121C	717
YJL122W	528
YJL123C	1437
YJL124C	519
YJL125C	1152
YJL126W	924
YJL127C	1923
YJL127C-B	159
YJL128C	2007
YJL129C	3708
YJL130C	6645
YJL131C	1071
YJL132W	2253
YJL133C-A	225
YJL133W	945
YJL134W	1230
YJL136C	264
YJL136W-A	84
YJL137C	1143
YJL138C	1188
YJL139C	1287
YJL140W	666
YJL141C	2424
YJL143W	477
YJL144W	315
YJL145W	885
YJL146W	1410
YJL147C	1149
YJL148W	702
YJL149W	1992
YJL151C	402
YJL153C	1602
YJL154C	2835
YJL155C	1359
YJL156C	2100
YJL157C	2493
YJL158C	684
YJL159W	1242
YJL160C	864
YJL161W	543
YJL162C	1752
YJL163C	1668
YJL164C	1194
YJL165C	2568
YJL166W	285
YJL167W	1059
YJL168C	2202
YJL170C	630
YJL171C	1191
YJL172W	1731
YJL173C	369
YJL174W	831
YJL176C	2478
YJL177W	555
YJL178C	816
YJL179W	330
YJL180C	978
YJL181W	1836
YJL183W	1269
YJL184W	372
YJL185C	882
YJL186W	1761
YJL187C	2460
YJL189W	156
YJL190C	393
YJL191W	417
YJL192C	705
YJL193W	1209
YJL194W	1542
YJL196C	933
YJL197W	3765
YJL198W	2646
YJL200C	2370
YJL201W	1800
YJL203W	843
YJL204C	2523
YJL205C	162
YJL206C	2277
YJL207C	6045
YJL208C	990
YJL209W	1965
YJL210W	816
YJL212C	2400
YJL213W	996
YJL214W	1710
YJL216C	1746
YJL217W	597
YJL218W	591
YJL219W	1704
YJL221C	1770
YJL222W	4650
YJL223C	363
YJL225C	5277
YJR001W	1809
YJR002W	1782
YJR003C	1560
YJR004C	1953
YJR005C-A	282
YJR005W	2103
YJR006W	1464
YJR007W	915
YJR008W	1017
YJR009C	999
YJR010C-A	285
YJR010W	1536
YJR011C	786
YJR012C	624
YJR013W	1212
YJR014W	597
YJR015W	1533
YJR016C	1758
YJR017C	513
YJR019C	1050
YJR021C	945
YJR022W	330
YJR024C	735
YJR025C	534
YJR030C	2238
YJR031C	4227
YJR032W	1182
YJR033C	4074
YJR034W	327
YJR035W	3258
YJR036C	2679
YJR039W	3366
YJR040W	2340
YJR041C	3525
YJR042W	2235
YJR043C	1053
YJR044C	423
YJR045C	1965
YJR046W	1815
YJR047C	474
YJR048W	330
YJR049C	1593
YJR050W	708
YJR051W	1506
YJR052W	1698
YJR053W	1725
YJR054W	1494
YJR055W	495
YJR056C	711
YJR057W	651
YJR058C	444
YJR059W	2457
YJR060W	1056
YJR061W	2808
YJR062C	1374
YJR063W	378
YJR064W	1689
YJR065C	1350
YJR066W	7413
YJR067C	426
YJR068W	1062
YJR069C	594
YJR070C	978
YJR072C	1158
YJR073C	621
YJR074W	657
YJR075W	1191
YJR076C	1248
YJR077C	936
YJR078W	1362
YJR079W	330
YJR080C	1185
YJR082C	342
YJR083C	930
YJR084W	1272
YJR085C	318
YJR086W	333
YJR088C	879
YJR089W	2865
YJR090C	3456
YJR091C	3276
YJR092W	4344
YJR093C	984
YJR094C	1083
YJR094W-A	279
YJR095W	969
YJR096W	849
YJR097W	519
YJR098C	1971
YJR099W	711
YJR100C	984
YJR101W	801
YJR102C	609
YJR103W	1737
YJR104C	465
YJR105W	1023
YJR106W	2178
YJR107W	987
YJR108W	372
YJR109C	3357
YJR110W	2067
YJR111C	852
YJR112W	606
YJR112W-A	330
YJR113C	744
YJR115W	510
YJR116W	840
YJR117W	1362
YJR118C	612
YJR119C	2187
YJR120W	351
YJR121W	1536
YJR122W	1494
YJR123W	678
YJR124C	1347
YJR125C	1227
YJR126C	2436
YJR127C	4143
YJR129C	1020
YJR130C	1920
YJR131W	1650
YJR132W	3147
YJR133W	630
YJR134C	2124
YJR135C	720
YJR135W-A	264
YJR136C	1266
YJR137C	4329
YJR138W	4755
YJR139C	1080
YJR140C	4947
YJR141W	1044
YJR142W	1029
YJR143C	2289
YJR144W	810
YJR145C	786
YJR146W	354
YJR147W	1077
YJR148W	1131
YJR149W	1215
YJR150C	897
YJR151C	3486
YJR151W-A	51
YJR152W	1632
YJR153W	1086
YJR154W	1041
YJR155W	867
YJR156C	1023
YJR158W	1704
YJR159W	1074
YJR160C	1809
YJR161C	1152
YKL001C	609
YKL002W	699
YKL003C	396
YKL004W	1206
YKL005C	1785
YKL006C-A	294
YKL006W	417
YKL007W	807
YKL008C	1257
YKL009W	711
YKL010C	4452
YKL011C	1062
YKL012W	1752
YKL013C	516
YKL014C	5295
YKL015W	2940
YKL016C	525
YKL017C	2052
YKL018C-A	300
YKL018W	990
YKL019W	951
YKL020C	3249
YKL021C	1407
YKL022C	2523
YKL023C-A	228
YKL023W	834
YKL024C	615
YKL025C	2040
YKL026C	504
YKL027W	1344
YKL028W	1449
YKL029C	2010
YKL032C	1794
YKL033W	3117
YKL033W-A	711
YKL034W	2277
YKL035W	1500
YKL037W	357
YKL038W	3513
YKL039W	1572
YKL040C	771
YKL041W	675
YKL042W	1092
YKL043W	1101
YKL044W	321
YKL045W	1587
YKL046C	1350
YKL047W	1551
YKL048C	1923
YKL049C	690
YKL050C	2769
YKL051W	1062
YKL052C	879
YKL053C-A	261
YKL054C	2217
YKL055C	837
YKL056C	504
YKL057C	3114
YKL058W	369
YKL059C	1326
YKL060C	1080
YKL061W	342
YKL062W	1893
YKL063C	504
YKL064W	2910
YKL065C	621
YKL065W-A	222
YKL067W	462
YKL068W	2880
YKL068W-A	237
YKL069W	543
YKL070W	510
YKL071W	771
